Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 05/03/2025 / Data final: 11/06/2025.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Taxa média;Taxa mediana;Taxa modal;Desvio padrão;Índice de curtose;
11/06/2025;14,65;1,00054266;1.415.281.687.034,88;846;14,65;14,64;14,65;0,0197;1177,9371;
10/06/2025;14,65;1,00054266;1.427.996.605.360,03;869;14,65;14,64;14,65;0,0508;2869,3184;
09/06/2025;14,65;1,00054266;1.417.310.017.569,41;880;14,65;14,64;14,65;0,0396;4118,2888;
06/06/2025;14,65;1,00054266;1.390.862.470.295,37;869;14,65;14,64;14,65;0,0201;3838,7533;
05/06/2025;14,65;1,00054266;1.428.050.895.271,1;867;14,65;14,64;14,65;0,0220;3075,3237;
04/06/2025;14,65;1,00054266;1.427.656.137.433;892;14,65;14,64;14,65;0,0210;3675,5940;
03/06/2025;14,65;1,00054266;1.449.245.713.788,12;869;14,65;14,64;14,65;0,0196;914,6560;
02/06/2025;14,65;1,00054266;1.416.796.126.754,37;854;14,65;14,64;14,65;0,0201;831,9652;
30/05/2025;14,65;1,00054266;1.358.995.793.626,94;855;14,65;14,64;14,65;0,0213;2759,0644;
29/05/2025;14,65;1,00054266;1.406.748.804.204,4;875;14,65;14,64;14,65;0,0266;4957,3711;
28/05/2025;14,65;1,00054266;1.390.580.560.439,86;842;14,65;14,64;14,65;0,0201;1141,2227;
27/05/2025;14,65;1,00054266;1.416.259.198.458,78;836;14,65;14,64;14,65;0,0191;810,2186;
26/05/2025;14,65;1,00054266;1.400.045.586.003,04;872;14,65;14,64;14,65;0,0223;2915,3517;
23/05/2025;14,65;1,00054266;1.411.481.368.727,97;867;14,65;14,64;14,65;0,0212;729,6396;
22/05/2025;14,65;1,00054266;1.424.270.346.863;855;14,65;14,64;14,65;0,0325;4865,5416;
21/05/2025;14,65;1,00054266;1.429.497.409.566,79;902;14,65;14,64;14,65;0,0367;4375,8269;
20/05/2025;14,65;1,00054266;1.500.309.651.047,3;838;14,65;14,64;14,65;0,0382;4218,9699;
19/05/2025;14,65;1,00054266;1.495.005.489.677,39;861;14,65;14,64;14,65;0,0382;4242,9604;
16/05/2025;14,65;1,00054266;1.518.497.469.752,16;834;14,65;14,64;14,65;0,0394;4071,6324;
15/05/2025;14,65;1,00054266;1.510.731.312.834,91;858;14,65;14,64;14,65;0,0440;3315,9308;
14/05/2025;14,65;1,00054266;1.356.457.704.032,5;897;14,65;14,64;14,65;0,0413;3587,7591;
13/05/2025;14,65;1,00054266;1.366.346.695.059,07;864;14,65;14,64;14,65;0,0416;3949,6846;
12/05/2025;14,65;1,00054266;1.366.622.228.960,48;861;14,65;14,64;14,65;0,0328;4498,7395;
09/05/2025;14,65;1,00054266;1.359.763.374.212,38;869;14,65;14,64;14,65;0,0271;4311,4001;
08/05/2025;14,65;1,00054266;1.369.379.592.517,05;832;14,65;14,64;14,65;0,0289;4438,1615;
07/05/2025;14,15;1,00052531;1.324.774.299.152,43;863;14,15;14,14;14,15;0,0213;617,3206;
06/05/2025;14,15;1,00052531;1.328.579.347.672,62;918;14,15;14,14;14,15;0,0212;642,2053;
05/05/2025;14,15;1,00052531;1.312.759.508.552,01;880;14,15;14,14;14,15;0,0212;643,3156;
02/05/2025;14,15;1,00052531;1.304.944.317.152,07;863;14,15;14,14;14,15;0,0226;577,8459;
30/04/2025;14,15;1,00052531;1.304.457.281.180,42;887;14,15;14,14;14,15;0,0250;4139,2517;
29/04/2025;14,15;1,00052531;1.350.941.190.647,58;941;14,15;14,14;14,15;0,0278;5079,2691;
28/04/2025;14,15;1,00052531;1.348.415.749.608,84;860;14,15;14,14;14,15;0,0242;4772,4245;
25/04/2025;14,15;1,00052531;1.347.270.818.477,55;853;14,15;14,14;14,15;0,0197;366,1135;
24/04/2025;14,15;1,00052531;1.398.573.539.100,17;872;14,15;14,14;14,15;0,0200;671,7497;
23/04/2025;14,15;1,00052531;1.414.916.605.335,99;889;14,15;14,14;14,15;0,0199;844,4506;
22/04/2025;14,15;1,00052531;1.447.768.332.482,06;828;14,15;14,14;14,15;0,0319;4907,4980;
17/04/2025;14,15;1,00052531;1.504.630.434.264,23;882;14,15;14,14;14,15;0,0333;4997,3369;
16/04/2025;14,15;1,00052531;1.523.426.374.233,98;879;14,15;14,14;14,15;0,0362;4538,2650;
15/04/2025;14,15;1,00052531;1.524.861.402.258,51;853;14,15;14,14;14,15;0,0389;4062,0091;
14/04/2025;14,15;1,00052531;1.512.748.903.416,38;892;14,15;14,14;14,15;0,0379;4096,4652;
11/04/2025;14,15;1,00052531;1.517.077.225.300,33;883;14,15;14,14;14,15;0,0373;4231,1328;
10/04/2025;14,15;1,00052531;1.508.621.904.697,65;840;14,15;14,14;14,15;0,0437;3433,6848;
09/04/2025;14,15;1,00052531;1.510.846.999.767,23;831;14,15;14,14;14,15;0,0413;3721,0762;
08/04/2025;14,15;1,00052531;1.491.504.478.112,87;805;14,15;14,14;14,15;0,0394;3989,0923;
07/04/2025;14,15;1,00052531;1.473.526.659.185,71;830;14,15;14,14;14,15;0,0197;3415,7923;
04/04/2025;14,15;1,00052531;1.469.788.328.403,5;823;14,15;14,14;14,15;0,0186;1040,0669;
03/04/2025;14,15;1,00052531;1.515.960.801.213,82;860;14,15;14,14;14,15;0,0183;1169,1711;
02/04/2025;14,15;1,00052531;1.502.352.894.509,09;894;14,15;14,14;14,15;0,0190;864,2637;
01/04/2025;14,15;1,00052531;1.528.430.939.092,4;865;14,15;14,14;14,15;0,0195;813,6668;
31/03/2025;14,15;1,00052531;1.273.380.941.652,04;809;14,15;14,14;14,15;0,0209;655,9033;
28/03/2025;14,15;1,00052531;1.334.874.408.541,12;863;14,15;14,14;14,15;0,0202;620,5352;
27/03/2025;14,15;1,00052531;1.341.912.160.180,3;879;14,15;14,14;14,15;0,0218;3082,6914;
26/03/2025;14,15;1,00052531;1.391.615.254.358,96;903;14,15;14,14;14,15;0,0224;4231,0842;
25/03/2025;14,15;1,00052531;1.401.538.718.285,09;880;14,15;14,14;14,15;0,0260;1750,5361;
24/03/2025;14,15;1,00052531;1.389.232.101.602,81;871;14,15;14,14;14,15;0,0218;4337,9119;
21/03/2025;14,15;1,00052531;1.385.198.466.150,1;875;14,15;14,14;14,15;0,0267;5705,6240;
20/03/2025;14,15;1,00052531;1.454.638.591.874,43;846;14,15;14,14;14,15;0,0248;5668,9230;
19/03/2025;13,15;1,00049037;1.425.021.153.973,74;861;13,15;13,14;13,15;0,0326;4527,1514;
18/03/2025;13,15;1,00049037;1.474.637.739.315,64;849;13,15;13,14;13,15;0,0404;3380,5607;
17/03/2025;13,15;1,00049037;1.457.318.574.784,2;841;13,15;13,14;13,15;0,0382;3708,8247;
14/03/2025;13,15;1,00049037;1.496.158.732.267,87;833;13,15;13,14;13,15;0,0389;3579,4402;
13/03/2025;13,15;1,00049037;1.504.277.317.627,36;838;13,15;13,14;13,15;0,0391;3575,4778;
12/03/2025;13,15;1,00049037;1.496.834.040.296,02;917;13,15;13,14;13,15;0,0366;3665,6424;
11/03/2025;13,15;1,00049037;1.519.610.729.025,05;864;13,15;13,14;13,15;0,0350;4037,7041;
10/03/2025;13,15;1,00049037;1.502.269.762.221,4;857;13,15;13,14;13,15;0,0245;3181,8417;
07/03/2025;13,15;1,00049037;1.499.555.867.314,72;887;13,15;13,14;13,15;0,0214;3528,3734;
06/03/2025;13,15;1,00049037;1.505.909.463.471,99;824;13,15;13,14;13,15;0,0763;16928,4911;
05/03/2025;13,15;1,00049037;1.500.712.280.137,94;876;13,15;13,14;13,15;0,0247;3314,6215;
